Brand,Battery capacity (mAh),Screen size (inches),Touchscreen,Resolution x,Resolution y,Processor,RAM (MB),Internal storage (GB),Rear camera,Front camera,Operating system,Wi-Fi,Bluetooth,GPS,Number of SIMs,3G,4G/ LTE,Price
OnePlus,4085,6.67,Yes,1440,3120,8,12000,256,48,16,Android,Yes,Yes,Yes,2,Yes,Yes,58998
Realme,4000,6.5,Yes,1080,2400,8,6000,64,64,16,Android,Yes,Yes,Yes,2,Yes,Yes,27999
Apple,3969,6.5,Yes,1242,2688,6,4000,64,12,12,iOS,Yes,Yes,Yes,2,Yes,Yes,106900
Apple,3110,6.1,Yes,828,1792,6,4000,64,12,12,iOS,Yes,Yes,Yes,2,Yes,Yes,62900
LG,4000,6.4,Yes,1080,2340,8,6000,128,12,32,Android,Yes,Yes,Yes,1,No,No,49990
OnePlus,3800,6.55,Yes,1080,2400,8,8000,128,48,16,Android,Yes,Yes,No,2,Yes,Yes,34930
OnePlus,4085,6.67,Yes,1440,3120,8,8000,256,48,16,Android,Yes,Yes,Yes,2,Yes,Yes,52990
Samsung,4300,6.8,Yes,1440,3040,8,12000,256,12,10,Android,Yes,Yes,Yes,2,Yes,Yes,79699
Asus,6000,6.59,Yes,1080,2340,8,8000,128,48,24,Android,Yes,Yes,Yes,1,Yes,Yes,37999
Xiaomi,4000,6.39,Yes,1080,2340,8,6000,128,48,20,Android,Yes,Yes,Yes,2,No,No,23190
Oppo,3765,6.5,Yes,1080,2340,8,6000,64,16,16,Android,Yes,Yes,Yes,2,Yes,Yes,23990
Realme,3765,6.53,Yes,1080,2340,8,4000,128,48,16,Android,Yes,Yes,Yes,2,Yes,Yes,14999
Xiaomi,4000,6.39,Yes,1080,2340,8,6000,64,48,20,Android,Yes,Yes,Yes,2,Yes,Yes,19282
OnePlus,4000,6.67,Yes,1440,3120,8,6000,128,48,16,Android,Yes,Yes,Yes,2,Yes,Yes,39995
Oppo,4065,6.6,Yes,1080,2340,8,6000,128,48,16,Android,Yes,Yes,Yes,2,Yes,Yes,36990
Realme,4045,6.3,Yes,1080,2340,8,4000,64,16,25,Android,Yes,Yes,Yes,2,Yes,Yes,13999
Huawei,4200,6.47,Yes,1080,2340,8,8000,256,40,32,Android,Yes,Yes,No,2,Yes,Yes,54280
Xiaomi,4000,6.3,Yes,1080,2340,8,4000,64,48,13,Android,Yes,Yes,Yes,2,Yes,Yes,9799
Huawei,4200,6.39,Yes,1440,3120,8,6000,128,40,24,Android,Yes,Yes,Yes,2,Yes,Yes,63990
LG,3300,6.4,Yes,1440,3120,8,6000,128,12,8,Android,Yes,Yes,Yes,2,Yes,Yes,29999
OnePlus,3700,6.41,Yes,1080,2340,8,6000,128,16,16,Android,Yes,Yes,Yes,2,Yes,Yes,31999
Apple,2942,6.1,Yes,828,1792,6,3000,64,12,7,iOS,Yes,Yes,Yes,2,Yes,Yes,45499
Apple,2658,6.5,Yes,1242,2688,6,4000,64,12,7,iOS,Yes,Yes,Yes,2,Yes,Yes,69999
Apple,2658,5.8,Yes,1125,2436,6,4000,64,12,7,iOS,Yes,Yes,Yes,2,Yes,Yes,59999
Google,3430,6.3,Yes,1440,2960,8,4000,64,12.2,8,Android,Yes,Yes,Yes,1,Yes,Yes,47990
Google,2915,5.5,Yes,1080,2160,8,4000,64,12.2,8,Android,Yes,Yes,Yes,1,Yes,Yes,37999
Asus,4000,6,Yes,1080,2160,8,8000,128,12,8,Android,Yes,Yes,Yes,2,Yes,Yes,69999
Samsung,4000,6.4,Yes,1440,2960,8,6000,128,12,8,Android,Yes,Yes,Yes,2,Yes,Yes,56999
LG,3000,6.1,Yes,1440,3120,8,6000,128,16,8,Android,Yes,Yes,Yes,2,Yes,Yes,37999
Asus,5000,5.99,Yes,1080,2160,8,3000,32,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,9990
Huawei,4000,6.1,Yes,1080,2240,8,4000,64,40,24,Android,Yes,Yes,Yes,2,No,Yes,49990
OnePlus,3300,6.28,Yes,1080,2280,8,6000,64,16,16,Android,Yes,Yes,Yes,2,Yes,Yes,34999
Asus,3300,6.2,Yes,1080,2246,8,4000,64,12,8,Android,Yes,Yes,Yes,2,Yes,Yes,18999
Xiaomi,4000,5.99,Yes,1080,2160,8,4000,64,12,20,Android,Yes,Yes,Yes,2,Yes,Yes,9349
Nokia,3800,6,Yes,1080,2160,8,4000,64,12,16,Android,Yes,Yes,Yes,2,Yes,Yes,12000
Samsung,3500,6.2,Yes,1440,2960,8,6000,64,12,8,Android,Yes,Yes,Yes,2,Yes,Yes,29999
Samsung,3000,5.8,Yes,1440,2960,8,4000,64,12,8,Android,Yes,Yes,Yes,2,Yes,Yes,26999
HTC,3930,6,Yes,1440,2560,8,6000,128,12,8,Android,Yes,Yes,Yes,2,Yes,Yes,52990
Samsung,3300,6.3,Yes,1440,2960,8,6000,64,12,8,Android,Yes,Yes,Yes,2,Yes,Yes,49999
Apple,1821,4.7,Yes,750,1334,6,2000,64,12,7,iOS,Yes,Yes,Yes,1,Yes,Yes,36999
Apple,2691,5.5,Yes,1080,1920,6,3000,64,12,7,iOS,Yes,Yes,Yes,1,Yes,Yes,47000
Apple,2716,5.8,Yes,1125,2436,6,3000,64,12,7,iOS,Yes,Yes,Yes,1,Yes,Yes,69999
Motorola,2730,5.5,Yes,1440,2560,8,6000,64,12,5,Android,Yes,Yes,Yes,1,Yes,Yes,20999
HTC,3000,5.5,Yes,1440,2560,8,6000,128,12,16,Android,Yes,Yes,Yes,2,Yes,Yes,53990
Nokia,3090,5.3,Yes,1440,2560,8,4000,64,13,13,Android,Yes,Yes,Yes,2,Yes,Yes,14994
Samsung,3500,6.2,Yes,1440,2960,8,4000,64,12,8,Android,Yes,Yes,Yes,1,Yes,Yes,30000
Samsung,3000,5.8,Yes,1440,2960,8,4000,64,12,8,Android,Yes,Yes,Yes,1,Yes,Yes,26994
LG,3300,5.7,Yes,1440,2880,1,3000,32,13,5,Android,Yes,Yes,Yes,1,Yes,Yes,23990
OnePlus,3400,5.5,Yes,1080,1920,4,6000,64,16,16,Android,Yes,Yes,Yes,2,Yes,Yes,19999
Samsung,4000,6,Yes,1080,1920,8,6000,64,16,16,Android,Yes,Yes,Yes,2,No,Yes,16999
Google,3450,5.5,Yes,1440,2560,4,4000,32,12.3,8,Android,Yes,Yes,Yes,1,Yes,Yes,30990
Apple,2900,5.5,Yes,1080,1920,4,3000,32,12,7,iOS,Yes,Yes,Yes,1,Yes,Yes,34999
Apple,1960,4.7,Yes,750,1334,4,2000,32,12,7,iOS,Yes,Yes,Yes,1,Yes,Yes,27999
Honor,3000,5.2,Yes,1080,1920,8,4000,32,12,8,Android,Yes,Yes,Yes,2,Yes,Yes,20246
OnePlus,3000,5.5,Yes,1080,1920,4,6000,64,16,8,Android,Yes,Yes,Yes,2,Yes,Yes,22999
Asus,3000,5.7,Yes,1080,1920,4,6000,256,23,8,Android,Yes,Yes,Yes,2,Yes,Yes,44999
Xiaomi,3000,5.15,Yes,1080,1920,4,3000,32,16,4,Android,Yes,Yes,Yes,2,Yes,Yes,24999
Samsung,3600,5.5,Yes,1440,2560,8,4000,32,12,5,Android,Yes,Yes,Yes,2,Yes,Yes,39996
Samsung,3000,5.1,Yes,1440,2560,8,4000,32,12,5,Android,Yes,Yes,Yes,2,Yes,Yes,23999
Motorola,3760,5.4,Yes,1440,2560,8,3000,32,21,5,Android,Yes,Yes,Yes,1,Yes,Yes,6994
Huawei,3450,5.7,Yes,1440,2560,8,3000,32,12.3,8,Android,Yes,Yes,Yes,1,Yes,Yes,42998
Apple,2750,5.5,Yes,1080,1920,1,2000,16,12,5,iOS,Yes,Yes,Yes,1,Yes,Yes,25990
Yu,2500,5.5,Yes,1080,1920,8,2000,16,13,5,Cyanogen,Yes,Yes,Yes,2,Yes,Yes,5995
Samsung,3050,5.7,Yes,1080,1920,8,2000,32,16,5,Android,Yes,Yes,Yes,2,Yes,Yes,7299
Samsung,2550,5.1,Yes,1440,2560,8,3000,32,16,5,Android,Yes,Yes,Yes,1,Yes,Yes,25999
Yu,2500,5.5,Yes,720,1280,8,2000,16,13,5,Cyanogen,Yes,Yes,Yes,2,Yes,Yes,3999
Xiaomi,3100,5.5,Yes,720,1280,8,2000,8,13,5,Android,Yes,Yes,Yes,2,Yes,No,7999
Realme,5000,6.52,Yes,720,1600,8,3000,32,12,5,Android,Yes,Yes,Yes,2,Yes,Yes,6999
Poco,4500,6.67,Yes,1080,2400,8,6000,64,64,20,Android,Yes,Yes,Yes,2,Yes,Yes,15999
Samsung,4500,6.7,Yes,1080,2400,8,8000,128,48,32,Android,Yes,Yes,Yes,1,No,No,39999
Realme,5000,6.52,Yes,720,1600,8,4000,64,12,8,Android,Yes,Yes,Yes,2,Yes,Yes,8999
Samsung,4500,6.7,Yes,1080,2400,8,6000,128,12,32,Android,Yes,Yes,Yes,1,No,No,38999
Vivo,4500,6.44,Yes,1080,2400,8,8000,128,48,32,Android,Yes,Yes,Yes,2,Yes,Yes,21150
Vivo,5000,6.53,Yes,1080,2340,8,4000,64,16,16,Android,Yes,Yes,Yes,2,Yes,Yes,10990
