SUBS_KEY,TARGET,OG_MOU_F4,IC_MOU_F4,OG_CALLS_F4,IC_CALLS_F4,RCHG_AMOUNT_F4,CNT_RCHG_F4,AVG_MBL_F4,IC_OG_RATIO_F4,OG_MOU_F7,IC_MOU_F7,OG_CALLS_F7,IC_CALLS_F7,RCHG_AMOUNT_F7,CNT_RCHG_F7,AVG_MBL_F7,IC_OG_RATIO_F7,OG_MOU_F10,IC_MOU_F10,OG_CALLS_F10,IC_CALLS_F10,RCHG_AMOUNT_F10,CNT_RCHG_F10,AVG_MBL_F10,IC_OG_RATIO_F10,DS_IC_MOU_F4,DS_IC_MOU_F7,DS_IC_MOU_F10,DS_OG_MOU_F4,DS_OG_MOU_F7,DS_OG_MOU_F10,DS_OG_CALLS_F4,DS_OG_CALLS_F7,DS_OG_CALLS_F10,DS_IC_CALLS_F4,DS_IC_CALLS_F7,DS_IC_CALLS_F10,DS_RCHG_MRP_F4,DS_RCHG_MRP_F7,DS_RCHG_MRP_F10,DS_RCHG_MRP_F4_EX1,DS_RCHG_MRP_F7_EX1,DS_RCHG_MRP_F10_EX1,SUBS_ACTIVATION_DT,ACTIVATION_DT,DAY_END_MBL_F4,DAY_END_MBL_F7,DAY_END_MBL_F10,SLP_MBL_F4,SLP_MBL_F7,SLP_MBL_F10,SLP_OGMOU_F4,SLP_OGMOU_F7,SLP_OGMOU_F10,SLP_ICMOU_F4,SLP_ICMOU_F7,SLP_ICMOU_F10,SD_MBL_F4,SD_MBL_F7,SD_MBL_F10,SD_OGMOU_F4,SD_OGMOU_F7,SD_OGMOU_F10,SD_ICMOU_F4,SD_ICMOU_F7,SD_ICMOU_F10,MAX_MBL_F4_EX1,MAX_MBL_F7_EX1,MAX_MBL_F10_EX1,MAX_MBL_F4,MAX_MBL_F7,MAX_MBL_F10,MAX_MRP_HIGH_AMT_F4,MAX_MRP_HIGH_AMT_F7,MAX_MRP_HIGH_AMT_F10,CNT_VLR_INS_F4,CNT_VLR_INS_F7,CNT_VLR_INS_F10,CNT_STD_INS_F4,CNT_STD_INS_F7,CNT_STD_INS_F10,CNT_STD_OG_INS_F4,CNT_STD_OG_INS_F7,CNT_STD_OG_INS_F10,CNT_STD_IC_INS_F4,CNT_STD_IC_INS_F7,CNT_STD_IC_INS_F10,CNT_ROAM_INS_F4,CNT_ROAM_INS_F7,CNT_ROAM_INS_F10,CNT_SMS_INS_F4,CNT_SMS_INS_F7,CNT_SMS_INS_F10,CNT_DEC_INS_F4,CNT_DEC_INS_F7,CNT_DEC_INS_F10,AVG_NIG_USG_F4,AVG_NIG_USG_F7,AVG_NIG_USG_F10,AVG_STD_USG_F4,AVG_STD_USG_F7,AVG_STD_USG_F10,DND,DND_INFO,CHG_IC_MOU_L5_F5,USAGE_SPREAD,SUM_RCHG_MRP_L10,TARGET_21_30
623576580,1,2.93,0,1,0,0,0,9.12,0,3.38,0,2,0,0,0,7.21,0,3.38,0,2,0,0,0,5.08,0,19,19,19,3,3,3,3,3,3,19,19,19,19,19,19,19,19,19,41701,3,7.64,0.1,0.1,-0.82,-1.35,-1.36,0.88,0.02,-0.06,0,0,0,1.13,3.39,4.41,1.47,1.09,0.92,0,0,0,10,10,10,10,10,10,0,0,0,4,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0.04,0,1
623576616,0,23.03,59.03,6,14,0,0,1.33,2.56,81.88,90.07,18,25,70,1,23.41,1.1,124.18,121.4,40,42,70,1,26.11,0.98,0,0,0,0,0,0,0,0,0,0,0,0,19,4,4,19,3,3,41701,3,0.25,44.95,24.55,-1.29,10.29,4.47,-4.88,2.01,1.09,-7.38,-2.08,-1.05,2.15,27.91,23.44,6.74,9.28,8.23,11.41,8.94,7.43,0.25,59.45,59.45,4.55,59.45,59.45,0,70,70,4,7,10,3,5,8,2,3,5,3,4,7,0,0,0,0,0,0,2,5,8,0,0,0,1.88,0.51,0.58,0,0,-0.25,0.3,70,0
623576617,0,16.25,24.73,12,18,95,2,16.48,1.52,29.25,44,27,25,288,4,29.26,1.5,57.03,69.05,43,43,288,4,22.39,1.21,1,1,1,2,2,2,2,2,2,1,1,1,2,2,2,1,1,1,41701,3,8.57,66.33,1.43,4.91,9.57,0.21,3.11,0.76,0.94,2.33,0.73,0.63,21.96,31.48,28.09,4.72,3.84,4.24,4.46,4.57,4.9,48.87,70.73,70.73,48.87,70.73,70.73,70,123,123,4,7,10,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,6,9,0.08,0.05,0.14,0,0,0,0,0,0.77,0.36,288,0
623576618,1,3.27,6.42,4,10,0,0,7.7,1.96,3.47,11.75,5,18,0,0,4.86,3.39,4.17,19.1,6,30,0,0,3.52,4.58,0,0,0,2,2,2,2,2,2,0,0,0,19,19,19,19,19,19,41701,3,1.2,0.8,0.4,-2.68,-1.91,-1.22,0.81,-0.01,-0.04,0.66,0.16,0.16,4.34,4.69,4.39,1.14,0.9,0.77,0.93,1.11,1.41,10,10,10,10,10,10,0,0,0,4,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,0,0.19,0.17,0,0,0,0,0,0.11,0.26,0,1
623576655,1,0,0,0,0,0,0,10,999,0,0,0,0,0,0,10,999,0,0,0,0,0,0,10,999,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,41701,3,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,0,0,0,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
623576656,1,7.87,0,5,0,0,0,2.31,0,7.87,0,5,0,0,0,1.56,0,7.87,0,5,0,0,0,1.26,0,19,19,19,0,0,0,0,0,0,19,19,19,19,19,19,19,19,19,41701,3,0.56,0.56,0.56,-1.47,-0.64,-0.34,-1.2,-0.64,-0.36,0,0,0,2.04,1.72,1.48,2.1,1.82,1.58,0,0,0,3.68,3.68,3.68,4.42,4.42,4.42,0,0,0,4,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0.08,0,1
623576657,1,0,0,0,0,18,1,23,999,0,0,1,0,18,1,22.96,999,0,0,2,0,18,1,22.66,999,19,19,19,19,19,19,19,5,5,19,19,19,0,0,0,19,19,19,41701,3,23,22.87,20.08,0,-0.02,-0.17,0,0,0,0,0,0,0,0.06,0.91,0,0,0,0,0,0,23,23,23,23,23,23,18,18,18,4,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,18,1
623576666,0,3.07,0.62,5,4,58,1,66.25,0.2,4.32,0.83,9,5,77,2,65.4,0.19,7.92,1.32,16,8,96,3,63.96,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,3,41701,3,65.14,63.84,60.06,-0.7,-0.59,-0.83,-0.43,-0.15,0.01,-0.06,-0.03,0,0.92,1.31,2.58,0.69,0.67,0.7,0.18,0.15,0.15,66.38,66.38,66.38,67.38,67.38,67.38,58,58,58,4,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,8,0,0,0,0,0,0,0,0,0.14,0.18,96,0
623576667,1,10.8,6.25,18,8,58,1,56.51,0.58,10.8,6.25,18,11,58,1,53.66,0.58,10.8,6.25,18,12,58,1,52.14,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,19,41701,3,51.35,49.1,48.35,-4.2,-2.23,-1.41,-2.51,-1.03,-0.54,-1.37,-0.58,-0.31,5.66,5.38,5.03,3.81,3.06,2.6,2.36,1.86,1.58,59.85,59.85,59.85,62.75,62.75,62.75,58,58,58,4,7,10,3,6,7,1,1,1,3,6,7,1,1,1,1,2,3,4,7,8,0,0,0,0.73,0.74,0.74,0,0,-1,0.04,58,1
623576668,0,0,0,0,0,58,1,68,999,0,0,0,0,58,1,68,999,0,0,0,0,58,1,68,999,19,19,19,19,19,19,19,19,19,19,19,19,0,0,0,19,19,19,41701,3,68,68,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,68,68,68,68,68,58,58,58,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,1
